TIME,Time,Tw,dw,dT/dr,ρo,Qo,Vo,δd,ρow,μow,Reow,Fo,Fw,Nsr,MWww,ρww,MVww,π1,π2,Dow,dC/dT,dδ/dt,δ
min,min,degC,m,K/m,kg/m³,m³/s,m/s,m,kg/m³,Pa.s,,%,Frac.,,g/mol,kg/m³,cm³/mol,,,m²/s,,mm,mm
0,0,32.918,0.0446,26212.0,836.8,0.00060193,0.38529,0.0,842.88,0.0042,3448.6,57.581,0.42419,0.0,405.41,882.83,459.21,35.362,0.0,2.0459e-10,0.003654,0.41576,0.41576
10,10,35.083,0.044185,22642.0,836.8,0.00060193,0.39256,0.0002075,841.9,0.0039624,3685.4,57.157,0.42843,17.307,420.53,885.44,474.94,35.011,2.9777,2.1464e-10,0.0018706,0.048011,0.46377
20,20,35.755,0.04402,21514.0,836.8,0.00060193,0.39551,0.00029,841.59,0.0038921,3764.6,57.02,0.4298,24.801,428.13,886.84,482.76,34.9,4.9274,2.1698e-10,0.0018706,0.030849,0.49462
30,30,36.171,0.04391,20808.0,836.8,0.00060193,0.39749,0.000345,841.4,0.0038486,3815.9,56.933,0.43067,29.981,432.84,887.71,487.59,34.829,6.4262,2.1851e-10,0.0018706,0.023934,0.51856
40,40,36.47,0.043826,20300.0,836.8,0.00060193,0.39901,0.000387,841.26,0.0038174,3853.8,56.869,0.43131,34.03,436.22,888.33,491.05,34.777,7.6732,2.1963e-10,0.0018706,0.020065,0.53862
50,50,36.702,0.043757,19902.0,836.8,0.00060193,0.40027,0.0004215,841.16,0.003795,3882.2,56.821,0.43179,37.396,438.84,888.82,493.74,34.739,8.7562,2.2041e-10,0.0018706,0.017531,0.55615
60,60,36.891,0.043699,19576.0,836.8,0.00060193,0.40134,0.0004505,841.07,0.0037767,3905.7,56.782,0.43218,40.264,440.98,889.21,495.92,34.708,9.7107,2.2106e-10,0.0018706,0.015739,0.57189
70,70,37.051,0.043648,19300.0,836.8,0.00060193,0.40228,0.000476,840.99,0.0037613,3926.0,56.748,0.43252,42.814,442.79,889.54,497.77,34.681,10.582,2.2162e-10,0.0018706,0.014375,0.58627
80,80,37.189,0.043603,19062.0,836.8,0.00060193,0.40311,0.0004985,840.93,0.003748,3943.7,56.719,0.43281,45.087,444.35,889.83,499.36,34.657,11.377,2.2211e-10,0.0018706,0.013306,0.59957
90,90,37.311,0.043562,18852.0,836.8,0.00060193,0.40387,0.000519,840.87,0.0037362,3959.6,56.693,0.43307,47.175,445.73,890.09,500.77,34.637,12.121,2.2254e-10,0.0018706,0.01243,0.612
100,100,37.419,0.043525,18665.0,836.8,0.00060193,0.40455,0.0005375,840.82,0.0037258,3973.8,56.67,0.4333,49.073,446.95,890.31,502.01,34.618,12.81,2.2293e-10,0.0018706,0.011707,0.62371
110,110,37.516,0.04349,18496.0,836.8,0.00060193,0.4052,0.000555,840.78,0.0037164,3986.8,56.649,0.43351,50.878,448.05,890.51,503.13,34.601,13.474,2.2328e-10,0.0018706,0.011081,0.63479
120,120,37.604,0.043459,18342.0,836.8,0.00060193,0.40578,0.0005705,840.74,0.0037079,3998.6,56.629,0.43371,52.491,449.04,890.7,504.15,34.586,14.076,2.2361e-10,0.0018706,0.010561,0.64535
130,130,37.686,0.043429,18202.0,836.8,0.00060193,0.40634,0.0005855,840.7,0.0037,4009.7,56.611,0.43389,54.058,449.97,890.87,505.09,34.571,14.668,2.2391e-10,0.0018706,0.010093,0.65544
140,140,37.76,0.043402,18072.0,836.8,0.00060193,0.40685,0.000599,840.67,0.0036928,4019.8,56.595,0.43405,55.478,450.81,891.02,505.94,34.558,15.21,2.2418e-10,0.0018706,0.0096939,0.66514
150,150,37.83,0.043375,17951.0,836.8,0.00060193,0.40736,0.0006125,840.63,0.0036861,4029.5,56.579,0.43421,56.901,451.6,891.17,506.75,34.546,15.759,2.2444e-10,0.0018706,0.0093212,0.67446
160,160,37.894,0.043351,17839.0,836.8,0.00060193,0.40781,0.0006245,840.61,0.0036799,4038.4,56.565,0.43435,58.176,452.32,891.3,507.48,34.534,16.256,2.2468e-10,0.0018706,0.009003,0.68346
170,170,37.954,0.043327,17733.0,836.8,0.00060193,0.40826,0.0006365,840.58,0.0036741,4046.9,56.551,0.43449,59.451,453.0,891.43,508.17,34.523,16.757,2.2491e-10,0.0018706,0.0087034,0.69217
180,180,38.011,0.043305,17634.0,836.8,0.00060193,0.40867,0.0006475,840.55,0.0036686,4054.9,56.538,0.43462,60.629,453.64,891.55,508.83,34.513,17.223,2.2513e-10,0.0018706,0.0084389,0.7006
190,190,38.064,0.043284,17541.0,836.8,0.00060193,0.40907,0.000658,840.53,0.0036635,4062.4,56.526,0.43474,61.756,454.24,891.66,509.44,34.504,17.673,2.2533e-10,0.0018706,0.008197,0.7088
200,200,38.115,0.043264,17453.0,836.8,0.00060193,0.40945,0.000668,840.5,0.0036586,4069.6,56.515,0.43485,62.835,454.82,891.76,510.02,34.494,18.107,2.2552e-10,0.0018706,0.0079754,0.71678
210,210,38.163,0.043245,17370.0,836.8,0.00060193,0.40981,0.0006775,840.48,0.0036539,4076.5,56.504,0.43496,63.864,455.36,891.86,510.57,34.486,18.524,2.2571e-10,0.0018706,0.0077723,0.72455
220,220,38.208,0.043226,17290.0,836.8,0.00060193,0.41017,0.000687,840.46,0.0036496,4083.0,56.493,0.43507,64.892,455.87,891.96,511.09,34.477,18.942,2.2588e-10,0.0018706,0.0075782,0.73213
230,230,38.252,0.043208,17214.0,836.8,0.00060193,0.41051,0.000696,840.44,0.0036453,4089.4,56.483,0.43517,65.872,456.37,892.05,511.6,34.469,19.344,2.2605e-10,0.0018706,0.0073998,0.73953
240,240,38.293,0.043191,17141.0,836.8,0.00060193,0.41083,0.0007045,840.42,0.0036414,4095.3,56.474,0.43526,66.8,456.94,892.15,512.18,34.462,19.727,2.2617e-10,0.00037119,0.0014356,0.74096
250,250,38.333,0.043174,17072.0,836.8,0.00060193,0.41116,0.000713,840.4,0.0036375,4101.2,56.464,0.43536,67.73,457.73,892.29,512.99,34.454,20.112,2.2623e-10,0.00037119,0.0014037,0.74237
260,260,38.371,0.043158,17005.0,836.8,0.00060193,0.41146,0.000721,840.38,0.0036338,4106.8,56.455,0.43545,68.608,458.48,892.41,513.75,34.447,20.478,2.2629e-10,0.00037119,0.0013745,0.74374
270,270,38.408,0.043142,16940.0,836.8,0.00060193,0.41177,0.000729,840.37,0.0036303,4112.3,56.447,0.43553,69.488,459.21,892.54,514.5,34.44,20.847,2.2634e-10,0.00037119,0.0013462,0.74509
280,280,38.444,0.043126,16878.0,836.8,0.00060193,0.41207,0.000737,840.35,0.0036268,4117.7,56.438,0.43562,70.369,459.92,892.66,515.23,34.434,21.217,2.2639e-10,0.00037119,0.0013189,0.74641
290,290,38.478,0.043111,16817.0,836.8,0.00060193,0.41236,0.0007445,840.34,0.0036235,4122.7,56.43,0.4357,71.197,460.59,892.77,515.91,34.427,21.568,2.2644e-10,0.00037119,0.0012938,0.7477
300,300,38.511,0.043097,16759.0,836.8,0.00060193,0.41263,0.0007515,840.32,0.0036203,4127.6,56.422,0.43578,71.975,461.24,892.88,516.58,34.421,21.899,2.2649e-10,0.00037119,0.0012708,0.74897
